problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P2,007,5,ok,196870.0,0.378213791991584,0.7708889160130639,1843200.0,110592.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-007-k5
P2,008,1,ok,250437.0,0.28409974998794496,0.3534154579974711,2654424.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-008-k1
P2,008,2,ok,125682.0,0.25579441600712016,0.3601678750128485,2654424.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-008-k2
P2,008,3,ok,84303.0,0.2646150829968974,0.36031599997659214,2654424.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-008-k3
P2,008,4,ok,63768.0,0.27316516599967144,0.3288949579873588,2654424.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-008-k4
P2,008,5,ok,52291.0,0.24572254202212207,0.3500897080230061,2654424.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-008-k5
P2,009,1,ok,139915.0,0.31993304201751016,1.1423029589932412,495332.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-009-k1
P2,009,2,ok,87233.0,0.31886704100179486,1.0107654159946833,495332.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-009-k2
P2,009,3,ok,87297.0,0.31590633298037574,1.0362685000000056,519908.0,24576.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-009-k3
P2,009,4,ok,87361.0,0.31325700000161305,1.0839688330015633,544484.0,49152.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-009-k4
