case_id,cores,baseline_cycles,forest_m3,forest_m2,final_m3,final_m2,forest_b_over_m,final_b_over_m,forest_g,final_g,solver_wall_seconds,fifth_core_status,selected_strategy,plan_changed_vs_forest,makespan_delta_vs_forest,scheduled_copy_bytes,extra_ddr_bytes,cache_hit_rate_bytes
013,3,263949,88351,88351,88351,88351,2.98750438591527,2.98750438591527,1.0,1.0,0.5964142499724403,skip,affine_eighth,False,0,2543616,16384,0.0
013,4,263949,66946,66946,66946,66946,3.942715024049234,3.942715024049234,1.0,1.0,0.5811277910252102,skip,affine_eighth,False,0,2551808,24576,0.0
013,5,263949,54117,54117,54117,54117,4.8773767947225455,4.8773767947225455,1.0,1.0,0.6018635840155184,unsupported,affine_eighth,False,0,2560000,32768,0.0
014,1,17698626,17418277,17430036,17418277,17430036,1.0160951051587939,1.0160951051587939,1.0006750954758614,1.0006750954758614,36.89668687497033,skip,dag_join_gap_list,False,0,115547332,105614592,0.0812557822060729
014,2,17698626,8765645,8768077,8765645,8768077,2.019089981398973,2.019089981398973,1.0002774467822961,1.0002774467822961,28.089267582981847,skip,affine_eighth,False,0,67227676,57294936,0.37551528865838285
014,3,17698626,5853384,5888390,5853384,5888390,3.023657084517264,3.023657084517264,1.0059804721508105,1.0059804721508105,26.110975791001692,skip,affine_eighth,False,0,70467604,60534864,0.44863544030849517
014,4,17698626,4430193,4462846,4430193,4462846,3.9950011207186686,3.9950011207186686,1.0073705592510305,1.0073705592510305,27.509989833051804,skip,affine_eighth,False,0,74336716,64403976,0.48856072049699123
014,5,17698626,3599672,3613047,3599672,3613047,4.916732969003842,4.916732969003842,1.0037156163117085,1.0037156163117085,29.20285000000149,unsupported,affine_eighth,False,0,78410356,68477616,0.4582896949122617
015,1,177362,112496,114569,112496,114569,1.5766071682548712,1.5766071682548712,1.0184273218603328,1.0184273218603328,0.3355156250181608,skip,dag_join_gap_list,False,0,1843162,958548,0.22404017200201068
015,2,177362,72694,75322,72694,75322,2.4398437285057915,2.4398437285057915,1.036151539329243,1.036151539329243,0.3853186670457944,skip,dag_join_gap_list,False,0,2289552,1404938,0.29589358579524877
015,3,177362,41211,44464,41211,44464,4.303753852126859,4.303753852126859,1.078935235738031,1.078935235738031,0.40042491705389693,skip,dag_join_gap_list,False,0,2265300,1380686,0.35096214770725964
015,4,177362,40071,49450,40071,49450,4.426193506525917,4.426193506525917,1.2340595443088518,1.2340595443088518,0.4231912909890525,skip,dag_join_gap_list,False,0,2753228,1868614,0.38506189511974565
