case_id,cores,baseline_B,old_M,old_B_over_M,new_M,new_B_over_M,delta_B_over_M,old_extra_ddr_bytes,new_extra_ddr_bytes,delta_extra_ddr_bytes,old_spill_bytes,new_spill_bytes,old_solver_wall_s,new_solver_wall_s,old_E0_wall_s,new_E0_wall_s,old_route,new_route,new_active_cores,new_feed,new_feed_sha256
012,2,59088,21930,2.694391244870041,21930,2.694391244870041,0.0,10944,10944,0,0,0,0.2768612499930896,0.2734346660145093,0.2791576249874197,0.34833362500648946,component_envelope,component_envelope,2,s01/board-feed-012-k2.json,8d883869e8b5aeba15dcd73c08fdf8564c10f2c08b5e2aff0a1acec8e70adede
012,3,59088,17351,3.4054521353236127,17351,3.4054521353236127,0.0,38592,38592,0,0,0,0.2760682910156902,0.25593770798877813,0.27884658399852924,0.33717775001423433,component_envelope,component_envelope,3,s01/board-feed-012-k3.json,f74c689b6ff61d74f468e7d63533fa7904b5f161cf8858c2ea2575a223a00f8e
012,4,59088,13803,4.280808519886981,13803,4.280808519886981,0.0,20736,20736,0,0,0,0.27839241598849185,0.24598404200514778,0.28472433402203023,0.3322833339916542,component_envelope,component_envelope,4,s01/board-feed-012-k4.json,ea529c6250683dd787437428419f0cce6a40b6b84de0e68485dcae0867ea0f13
012,5,59088,12661,4.666929942342627,12661,4.666929942342627,0.0,48384,48384,0,0,0,0.2787101249850821,0.27093704100116156,0.28415212500840425,0.350204542017309,component_envelope,component_envelope,5,s01/board-feed-012-k5.json,3d42e4118b8693e20491f6d6a256c3dda3145c1d8c005175f373727170fa0d0f
013,1,263949,263949,1.0,263949,1.0,0.0,0,0,0,0,0,0.27855379198445007,0.33477745798882097,0.5556958749948535,0.59810854200623,component_envelope,component_envelope,1,s01/board-feed-013-k1.json,64de13d9b200a5d86f73863967339a5d6a19d68c772718a329ca6222bb2aa939
013,2,263949,132198,1.9966187083011846,132198,1.9966187083011846,0.0,8192,8192,0,0,0,0.2784724169760011,0.3003597920178436,0.5607634589832742,0.49789558301563375,component_envelope,component_envelope,2,s01/board-feed-013-k2.json,a48014a6f3998da6caa671a2a5daf86689b65d5cae28fe539cfa8e93e49e338b
013,3,263949,88351,2.98750438591527,88351,2.98750438591527,0.0,16384,16384,0,0,0,0.28354979198775254,0.29457133400137536,0.5571002500073519,0.472031125013018,component_envelope,component_envelope,3,s01/board-feed-013-k3.json,4acb0e317a734226916c096af398988a2b3758538fa3ed1d2f88afa9f96b8e57
013,4,263949,66946,3.942715024049234,66946,3.942715024049234,0.0,24576,24576,0,0,0,0.28117720800219104,0.28548554200096987,0.5626307080092374,0.4731800830049906,component_envelope,component_envelope,4,s01/board-feed-013-k4.json,06245b7474cc9fcb2fd6b9242a0e5930dd135af9651ac027ed539efaa4872dc5
013,5,263949,54117,4.8773767947225455,54117,4.8773767947225455,0.0,32768,32768,0,0,0,0.2787876660004258,0.2927451249852311,0.5582654999743681,0.4954127079981845,component_envelope,component_envelope,5,s01/board-feed-013-k5.json,687d1d8f84b9e5a0627ffb642bb6c9e76293c821ebb9ca55763af7bb14405de1
014,1,17698626,18021184,0.9821011760381559,18021184,0.9821011760381559,0.0,58470816,58470816,0,58470816,58470816,1.677915333013516,1.9279828330036253,24.35175045800861,26.322924709005747,component_envelope,component_envelope,1,s01/board-feed-014-k1.json,6c23b72477a12aefcbabae556f3ba1cba45afb91da2376d3825c65b1ba79e2cc
014,2,17698626,8869498,1.9954484458985164,8869498,1.9954484458985164,0.0,50500536,50500536,0,40607328,40607328,1.6945710420259275,1.7082946250156965,15.384945958008757,16.329030332999537,component_envelope,component_envelope,2,s01/board-feed-014-k2.json,3d5ed43f9e910372c4ffa252e1ea924fbf8706d62e2eb91abc7f32cb1191c931
