case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
093,1,74205.0,74205.0,74205.0,1.0,1.0,1.0,q3-witness-full500-20260925-s59-s01-P3-093-k1-unified-attention-witness-e0,2
095,1,2084853.0,1070301.0,1070301.0,1.9479127834132641,1.9479127834132641,1.0,q3-witness-full500-20260925-s59-s01-P3-095-k1-unified-attention-witness-e0,2
097,1,11491509.0,10746146.0,10746146.0,1.0693609597338432,1.0693609597338432,1.0,q3-witness-full500-20260925-s59-s01-P3-097-k1-unified-attention-witness-e0,2
099,1,1622999.0,1597968.0,1597968.0,1.0156642686211488,1.0156642686211488,1.0,q3-witness-full500-20260925-s59-s01-P3-099-k1-unified-attention-witness-e0,2
051,5,607628.0,157299.0,157299.0,3.862885333028182,3.862885333028182,1.0,q3-witness-full500-20260925-s59-s02-P3-051-k5-unified-attention-witness-e0,2
002,4,261945.0,72594.0,72594.0,3.608356062484503,3.608356062484503,1.0,q3-witness-full500-20260925-s59-s02-P3-002-k4-unified-attention-witness-e0,2
004,4,392357.0,100126.0,100126.0,3.9186325230209937,3.9186325230209937,1.0,q3-witness-full500-20260925-s59-s02-P3-004-k4-unified-attention-witness-e0,2
006,4,82837.0,24049.0,26888.0,3.444509127198636,3.0808167212139246,1.118050646596532,q3-witness-full500-20260925-s59-s02-P3-006-k4-unified-attention-witness-e0,2
008,4,487605.0,63768.0,63768.0,7.646546857357922,7.646546857357922,1.0,q3-witness-full500-20260925-s59-s02-P3-008-k4-unified-attention-witness-e0,2
010,4,86969.0,19267.0,22765.0,4.513883842840089,3.820294311443005,1.1815539523537655,q3-witness-full500-20260925-s59-s02-P3-010-k4-unified-attention-witness-e0,2
012,4,59088.0,12849.0,16430.0,4.598645809012375,3.5963481436396836,1.2786987314187874,q3-witness-full500-20260925-s59-s02-P3-012-k4-unified-attention-witness-e0,2
014,4,17698626.0,4430193.0,4462846.0,3.9950011207186686,3.965771169339027,1.0073705592510305,q3-witness-full500-20260925-s59-s02-P3-014-k4-unified-attention-witness-e0,2
016,4,7715523.0,2250332.0,2250332.0,3.428615422079942,3.428615422079942,1.0,q3-witness-full500-20260925-s59-s02-P3-016-k4-unified-attention-witness-e0,2
018,4,1004367.0,254155.0,258845.0,3.951789262457949,3.8801869844887866,1.0184533060533927,q3-witness-full500-20260925-s59-s02-P3-018-k4-unified-attention-witness-e0,2
020,4,532746.0,145520.0,145520.0,3.660981308411215,3.660981308411215,1.0,q3-witness-full500-20260925-s59-s02-P3-020-k4-unified-attention-witness-e0,2
022,4,56780.0,14190.0,14190.0,4.0014094432699086,4.0014094432699086,1.0,q3-witness-full500-20260925-s59-s02-P3-022-k4-unified-attention-witness-e0,2
024,4,2555343.0,746444.0,746444.0,3.4233552684461257,3.4233552684461257,1.0,q3-witness-full500-20260925-s59-s02-P3-024-k4-unified-attention-witness-e0,2
026,4,99203.0,30310.0,37530.0,3.272946222368855,2.643298694377831,1.2382052128010557,q3-witness-full500-20260925-s59-s02-P3-026-k4-unified-attention-witness-e0,2
028,4,43836040.0,9988326.0,10202297.0,4.388727400367189,4.296683384143787,1.0214221081690766,q3-witness-full500-20260925-s59-s02-P3-028-k4-unified-attention-witness-e0,2
030,4,2808034.0,696146.0,696250.0,4.033685462532285,4.033082944344704,1.0001493939489705,q3-witness-full500-20260925-s59-s02-P3-030-k4-unified-attention-witness-e0,2
032,4,41443.0,11177.0,11299.0,3.7078822582088216,3.6678467120984157,1.0109152724344637,q3-witness-full500-20260925-s59-s02-P3-032-k4-unified-attention-witness-e0,2
034,4,842996.0,193017.0,193879.0,4.367470222830113,4.348052135610355,1.0044659278716384,q3-witness-full500-20260925-s59-s02-P3-034-k4-unified-attention-witness-e0,2
036,4,931510.0,233584.0,233584.0,3.987901568600589,3.987901568600589,1.0,q3-witness-full500-20260925-s59-s02-P3-036-k4-unified-attention-witness-e0,2
038,4,1364555.0,334310.0,334580.0,4.081705602584428,4.078411740092056,1.000807633633454,q3-witness-full500-20260925-s59-s02-P3-038-k4-unified-attention-witness-e0,2
