case_id,cores,old_makespan,calendar_makespan,baseline_makespan,old_speedup,calendar_speedup,m_change,old_solver_wall_s,calendar_solver_wall_s,old_extra_ddr_bytes,calendar_extra_ddr_bytes,old_spill_bytes,calendar_spill_bytes,old_cache_hit_rate,calendar_cache_hit_rate
039,2,719322,719322,1435262,1.9952983503910626,1.9952983503910626,equal,1.6835863329761196,1.6148262080096174,21471232,21471232,17268736,17268736,0.16967370441458735,0.16967370441458735
039,3,507058,507058,1435262,2.8305677062584556,2.8305677062584556,equal,1.5968936670105904,1.5468042079883162,23379968,23379968,14974976,14974976,0.2836000688349682,0.2836000688349682
039,4,410110,410110,1435262,3.499700080466216,3.499700080466216,equal,1.5565950830059592,1.5241412080067676,25563136,25563136,12955648,12955648,0.347900466562986,0.347900466562986
039,5,381107,381107,1435262,3.766034210864665,3.766034210864665,equal,1.5975365420163143,1.553659333003452,27611136,27611136,10801152,10801152,0.385885031303358,0.385885031303358
040,1,274949,274949,253454,0.9218218651458998,0.9218218651458998,equal,0.5151314999966417,0.5900678749894723,6945940,6945940,6945940,6945940,0.023474667952711775,0.023474667952711775
040,2,122600,121100,253454,2.0673246329526918,2.0929314616019816,improved,0.6594670000195038,1.109669916011626,3990542,3929820,2091176,2072538,0.18952493889914662,0.11862740514318713
040,3,79489,79061,253454,3.188541810816591,3.2058031140511756,improved,0.6496772499813233,1.8282402079785243,2465348,2654158,65536,119554,0.24032518344852785,0.24048781672492803
040,4,66502,62640,253454,3.8112237225948093,4.046200510855683,improved,0.7106363339989912,1.5762435829965398,2505964,2588902,0,0,0.26121354450232,0.3233337487508802
040,5,57815,57815,253454,4.383879616016604,4.383879616016604,equal,0.6759961670031771,1.6517922499915585,2744834,2744834,0,0,0.34618547665784244,0.34618547665784244
041,1,5919382,5919382,6003957,1.0142878090989904,1.0142878090989904,equal,12.884553332987707,13.247289499995532,25035776,25035776,25035776,25035776,0.12643853364834998,0.12643853364834998
041,2,2990555,2990555,6003957,2.007639719048805,2.007639719048805,equal,12.378149083990138,12.344943250005599,47226988,47226988,14783488,14783488,0.008090456054463487,0.008090456054463487
041,3,2000288,2000288,6003957,3.0015462773360637,3.0015462773360637,equal,12.386626624997007,12.102730874990812,50456736,50456736,10631168,10631168,0.06269785071170723,0.06269785071170723
041,4,1508203,1508203,6003957,3.9808679600822967,3.9808679600822967,equal,13.350120083021466,13.046764042024733,32045056,32045056,17726464,17726464,0.23478802622600647,0.23478802622600647
041,5,1212656,1212656,6003957,4.951080108456149,4.951080108456149,equal,14.290548207995016,14.175698499981081,33925120,33925120,15966208,15966208,0.3311159962314786,0.3311159962314786
042,1,1600513,1600513,1686740,1.0538746014559082,1.0538746014559082,equal,1.6494806249975227,1.8626296669826843,0,0,0,0,0.0,0.0
042,2,802691,802691,1686740,2.1013565618650265,2.1013565618650265,equal,2.168601541983662,1.8441007499932311,4154208,4154208,0,0,0.38289775783197333,0.38289775783197333
042,3,537423,537423,1686740,3.138570548711164,3.138570548711164,equal,2.7114149169938173,3.5351135420205537,18967456,18967456,0,0,0.2911144342067146,0.2911144342067146
042,4,406557,406557,1686740,4.148840138037225,4.148840138037225,equal,2.648321874992689,2.8228076249943115,8519380,8519380,0,0,0.624058155326527,0.624058155326527
042,5,328641,328641,1686740,5.132469777051555,5.132469777051555,equal,3.1031565830053296,3.460383166995598,11596144,11596144,0,0,0.6113847210323321,0.6113847210323321
043,1,531018,531018,677656,1.2761450647623998,1.2761450647623998,equal,2.1144060420047026,2.336053915991215,1756668,1756668,1756668,1756668,0.04268268909671262,0.04268268909671262
043,2,270578,268825,677656,2.504475604077198,2.5208072165907187,improved,2.1968741249875166,4.810467000002973,4290622,3080848,316120,153642,0.25435114901599765,0.2789964937108275
043,3,196647,185674,677656,3.4460530798842597,3.6497086291026206,improved,2.196801082987804,5.232972458994482,5654200,4604504,12962,82628,0.3657041392741812,0.3974026552070824
043,4,158605,148186,677656,4.272601746477097,4.57300959604821,improved,2.1653908750158735,6.0102512080047745,7305684,7013982,70948,37222,0.42759452407183185,0.4265285869330998
043,5,140015,126836,677656,4.839881441274149,5.342773345107068,improved,2.1603837909933645,6.370458999997936,7290184,6378026,53478,0,0.4524007237266644,0.5144375690320924
044,1,78142,78142,154407,1.975979626833201,1.975979626833201,equal,0.4038589169795159,0.5284474579966627,0,0,0,0,0.0,0.0
044,2,56743,56743,154407,2.7211638439983785,2.7211638439983785,equal,0.49720345900277607,0.5384741250018124,1259872,1259872,0,0,0.05127964751101528,0.05127964751101528
044,3,60116,60116,154407,2.568484263756737,2.568484263756737,equal,0.5368393329845276,0.7159284999943338,2225600,2225600,0,0,0.055324739129970414,0.055324739129970414
044,4,70261,70261,154407,2.19762030144746,2.19762030144746,equal,0.6127352079784032,0.6922592500050087,4179744,4179744,1388544,1388544,0.32948412200326344,0.32948412200326344
044,5,83958,83958,154407,1.839098120488816,1.839098120488816,equal,0.5966736249974929,0.7070119160052855,3954560,3954560,0,0,0.04643365237545001,0.04643365237545001
045,1,125614,125614,125614,1.0,1.0,equal,0.5851918749976903,0.6176884160086047,0,0,0,0,0.0,0.0
045,2,63059,63059,125614,1.99200748505368,1.99200748505368,equal,0.5889629580196925,0.8701952080009505,0,0,0,0,0.0,0.0
045,3,43001,43001,125614,2.921187879351643,2.921187879351643,equal,0.6177000419993419,0.9946287909988314,147456,147456,147456,147456,0.0,0.0
045,4,32149,32149,125614,3.907244393293726,3.907244393293726,equal,0.6757512500043958,0.9786291250202339,0,0,0,0,0.0,0.0
045,5,27620,27620,125614,4.547936278059377,4.547936278059377,equal,0.6905249580158852,0.8638193329970818,106496,106496,106496,106496,0.0,0.0
046,1,216019,216019,276455,1.2797716867497766,1.2797716867497766,equal,0.32200083398493007,0.42792012498830445,0,0,0,0,0.0,0.0
046,2,108498,108498,276455,2.5480193183284485,2.5480193183284485,equal,0.39218241701018997,0.3957233340188395,930400,930400,0,0,0.0,0.0
046,3,82060,82060,276455,3.3689373629051915,3.3689373629051915,equal,0.4326440000149887,0.5602972500200849,2921664,2921664,1060864,1060864,0.5285889857786621,0.5285889857786621
046,4,79330,79330,276455,3.48487331400479,3.48487331400479,equal,0.4312434169987682,0.5212670000037178,2791200,2791200,0,0,0.0,0.0
046,5,88200,88200,276455,3.134410430839002,3.134410430839002,equal,0.4749655000050552,0.5767367919906974,3721600,3721600,0,0,0.17427402779756213,0.17427402779756213
047,1,275355,275355,326508,1.1857710954949066,1.1857710954949066,equal,3.7363901659846306,3.8655093339912128,0,0,0,0,0.0,0.0
047,2,148548,142245,326508,2.1979966071572825,2.295391753664452,improved,3.3420984169933945,8.53991258298629,1060166,898758,0,0,0.14745646325126924,0.1615608882723691
047,3,123311,103539,326508,2.6478416361881747,3.1534783994436877,improved,3.147509959002491,7.8963830420107115,1712780,1498636,0,0,0.24588483347205345,0.34359106596795785
047,4,99674,84379,326508,3.2757589742560747,3.8695409995378,improved,3.047488374984823,7.676843166002072,2167122,1943890,0,0,0.4050442465772161,0.39556758149722976
