case,cores,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
034,3,842996.0,279005.0,3.0214368918119745,3.0214368918119745,nikolastarx-20260924T1952Z-s59ee-P1-034-k3-r0,1
034,4,842996.0,211980.0,3.976771393527691,3.976771393527691,nikolastarx-20260924T1952Z-s59ee-P1-034-k4-r0,1
034,5,842996.0,178384.0,4.725737734325948,4.725737734325948,nikolastarx-20260924T1952Z-s59ee-P1-034-k5-r0,1
035,1,169571.0,169571.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-035-k1-r0,1
035,2,169571.0,95406.0,1.7773620107750037,1.7773620107750037,nikolastarx-20260924T1952Z-s59ee-P1-035-k2-r0,1
035,3,169571.0,76666.0,2.211814885346829,2.211814885346829,nikolastarx-20260924T1952Z-s59ee-P1-035-k3-r0,1
035,4,169571.0,63590.0,2.666629973266237,2.666629973266237,nikolastarx-20260924T1952Z-s59ee-P1-035-k4-r0,1
035,5,169571.0,55444.0,3.0584193059663805,3.0584193059663805,nikolastarx-20260924T1952Z-s59ee-P1-035-k5-r0,1
036,1,931510.0,931510.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-036-k1-r0,1
036,2,931510.0,466068.0,1.998656848356892,1.998656848356892,nikolastarx-20260924T1952Z-s59ee-P1-036-k2-r0,1
036,3,931510.0,311345.0,2.991890025534375,2.991890025534375,nikolastarx-20260924T1952Z-s59ee-P1-036-k3-r0,1
036,4,931510.0,233584.0,3.987901568600589,3.987901568600589,nikolastarx-20260924T1952Z-s59ee-P1-036-k4-r0,1
036,5,931510.0,187182.0,4.976493466252097,4.976493466252097,nikolastarx-20260924T1952Z-s59ee-P1-036-k5-r0,1
037,1,210001.0,210001.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-037-k1-r0,1
037,2,210001.0,105374.0,1.992910964754114,1.992910964754114,nikolastarx-20260924T1952Z-s59ee-P1-037-k2-r0,1
037,3,210001.0,74038.0,2.836394824279424,2.836394824279424,nikolastarx-20260924T1952Z-s59ee-P1-037-k3-r0,1
037,4,210001.0,53320.0,3.938503375843961,3.938503375843961,nikolastarx-20260924T1952Z-s59ee-P1-037-k4-r0,1
037,5,210001.0,43013.0,4.882268151489085,4.882268151489085,nikolastarx-20260924T1952Z-s59ee-P1-037-k5-r0,1
038,1,1364555.0,1349031.0,1.0115075191007472,1.0,nikolastarx-20260924T1952Z-s59ee-P1-038-k1-r0,1
038,2,1364555.0,681518.0,2.002228847954126,2.002228847954126,nikolastarx-20260924T1952Z-s59ee-P1-038-k2-r0,1
038,3,1364555.0,462369.0,2.9512251037591186,2.9512251037591186,nikolastarx-20260924T1952Z-s59ee-P1-038-k3-r0,1
038,4,1364555.0,345206.0,3.9528716186856543,3.9528716186856543,nikolastarx-20260924T1952Z-s59ee-P1-038-k4-r0,1
038,5,1364555.0,283932.0,4.805921840440669,4.805921840440669,nikolastarx-20260924T1952Z-s59ee-P1-038-k5-r0,1
039,1,1435262.0,1408153.0,1.019251459180927,1.0,nikolastarx-20260924T1952Z-s59ee-P1-039-k1-r0,1
039,2,1435262.0,708430.0,2.025975749191875,2.025975749191875,nikolastarx-20260924T1952Z-s59ee-P1-039-k2-r0,1
039,3,1435262.0,478013.0,3.002558507823009,3.002558507823009,nikolastarx-20260924T1952Z-s59ee-P1-039-k3-r0,1
039,4,1435262.0,368961.0,3.8900100552632932,3.8900100552632932,nikolastarx-20260924T1952Z-s59ee-P1-039-k4-r0,1
039,5,1435262.0,347811.0,4.12655723942026,4.12655723942026,nikolastarx-20260924T1952Z-s59ee-P1-039-k5-r0,1
040,1,253454.0,253454.0,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-040-k1-r0,1
040,2,253454.0,143799.0,1.762557458674956,1.762557458674956,nikolastarx-20260924T1952Z-s59ee-P1-040-k2-r0,1
040,3,253454.0,97215.0,2.6071491025047573,2.6071491025047573,nikolastarx-20260924T1952Z-s59ee-P1-040-k3-r0,1
040,4,253454.0,94410.0,2.6846096811778413,2.6846096811778413,nikolastarx-20260924T1952Z-s59ee-P1-040-k4-r0,1
040,5,253454.0,94410.0,2.6846096811778413,2.6846096811778413,nikolastarx-20260924T1952Z-s59ee-P1-040-k5-r0,1
041,1,6003957.0,5963927.0,1.006712020452296,1.0,nikolastarx-20260924T1952Z-s59ee-P1-041-k1-r0,1
041,2,6003957.0,2973041.0,2.019466600023343,2.019466600023343,nikolastarx-20260924T1952Z-s59ee-P1-041-k2-r0,1
041,3,6003957.0,1999093.0,3.0033405149235177,3.0033405149235177,nikolastarx-20260924T1952Z-s59ee-P1-041-k3-r0,1
041,4,6003957.0,1493783.0,4.019296644827261,4.019296644827261,nikolastarx-20260924T1952Z-s59ee-P1-041-k4-r0,1
041,5,6003957.0,1196379.0,5.018440644645217,5.018440644645217,nikolastarx-20260924T1952Z-s59ee-P1-041-k5-r0,1
042,1,1686740.0,1673390.0,1.0079778174842684,1.0,nikolastarx-20260924T1952Z-s59ee-P1-042-k1-r0,1
042,2,1686740.0,840111.0,2.007758498579354,2.007758498579354,nikolastarx-20260924T1952Z-s59ee-P1-042-k2-r0,1
042,3,1686740.0,571947.0,2.9491194114139945,2.9491194114139945,nikolastarx-20260924T1952Z-s59ee-P1-042-k3-r0,1
042,4,1686740.0,444745.0,3.7926002540781796,3.7926002540781796,nikolastarx-20260924T1952Z-s59ee-P1-042-k4-r0,1
042,5,1686740.0,370832.0,4.5485287138111055,4.5485287138111055,nikolastarx-20260924T1952Z-s59ee-P1-042-k5-r0,1
043,1,677656.0,677890.0,0.9996548112525631,1.0,nikolastarx-20260924T1952Z-s59ee-P1-043-k1-r0,1
043,2,677656.0,355922.0,1.9039452464303976,1.9039452464303976,nikolastarx-20260924T1952Z-s59ee-P1-043-k2-r0,1
