case_id,M1,M2_noL2,M3_cache,G_M2_over_M3,baseline_over_M3,fractional_reduction_1_minus_M3_over_M2,layered_candidate,plan_sha256,graph_sha256
037,210001,43800,43013,1.0182967939925138,4.882268151489085,0.017968036529680376,False,57c5c350d989f5d62cdf1536bc08022c616f5e9e1ff95272cd8b413f092bea65,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
038,1364555,270283,268556,1.006430688571471,5.081081785549383,0.0063895990498847866,False,89bffc438b15585d5ab24dfb251aebc2fa9020eb37cae3d194a34ff30704bc21,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
039,1435262,431161,340476,1.2663477014532596,4.21545718347255,0.21032746468256636,False,8678a6b0a2dd2640bba8edb42e4d1f7bb59a3b6ea22698b0958349a042c3b5f5,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
040,253454,67790,57815,1.1725330796506097,4.383879616016604,0.14714559669567784,True,0cd2916927f830b2270a3d20e144881cf178337d312dfb15f0a0ff378ab82421,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
041,6003957,1216557,1212656,1.0032169057012046,4.951080108456149,0.003206590402258125,False,bfbe75030a05460317c0fc52340f8732ab660bed3b0820c6aa4e21baf93292a8,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
042,1686740,341131,328641,1.038004996333385,5.132469777051555,0.03661350038548239,False,e7028768787f03a2221c201445405131d7a67988ea0831f833cd5fde66db0d96,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
043,677656,147755,126836,1.1649295152795736,5.342773345107068,0.14157896517884339,False,499d26d54a4c72167b0649b25bff0ca9679ba1f7f6395479cb075b6819eed113,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
044,154407,63413,41205,1.538963717995389,3.747287950491445,0.35021210161954175,False,a16abc2ce5000de286a5416080f19d21ed1d237942045e5fca10a61625094c2e,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
045,125614,27620,27620,1.0,4.547936278059377,0.0,False,6fabd585a66858d94c0423daf5a3957dd381006467066eba75bc5696706b20fe,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
046,276455,96034,83050,1.15633955448525,3.3287778446718845,0.13520211591727926,False,2598fca20ae5b55773adf878f3b390d5ccc9b469ae175553eada4f4a518556f9,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
047,326508,78256,73805,1.060307567237992,4.423927918162726,0.05687742792884887,True,e26386a231ab41f6f0933ec44f537fbe218183c3e723f0678c295727ae5606b5,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
048,222220,97324,96956,1.0037955361194768,2.29196749040802,0.003781184497143597,False,8f5244756c34e14b19b5d8759b13830805b6187c2ca415767b3d05432da86d36,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764
049,196276,40949,39725,1.0308118313404657,4.940868470736312,0.029890839825148396,True,50d149336e3631a66bf8a8c3794656ea379dfffd31c45621e4b30bfc9ef7fa5a,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08
050,149690,40902,35930,1.1383801836905094,4.166156415251879,0.12155884797809402,False,34cd19778cc4f7e6996145b081cda81d7284dfd6033748bd4811f50ab8d4d5f0,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa
051,607628,157299,157299,1.0,3.862885333028182,0.0,False,1865e825732937b6a3b7b9e56f6d5ee8169b878c25670db0517293cfd974a2d6,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b
052,180301,34181,34181,1.0,5.274889558526667,0.0,False,2d54d53a6a9ab3df6b01ecaccfd9a4654898ad90165376baf1071db9eafbb8df,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0
053,1472686,319746,281654,1.1352439517990158,5.2287061429981465,0.11913206107347707,True,02f500b5fcd5ab4b04f96abc0426dd24e3356c7e33a3544c07d331bd0ac586e3,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc
054,815051,152382,145966,1.043955441678199,5.583841442527712,0.04210471053011511,False,1b53b31d96c4c27b2c35e2a6e27346baea812095d21a2f6adcd6c844e9ea109f,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828
055,118835,23531,23526,1.0002125308169685,5.051219926889399,0.00021248565721809776,False,30810890a5c20761ae4d14ab77962455ac00bb8cf199c6ce19d4e6a403b6360b,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134
056,277285,60046,58375,1.0286252676659529,4.750064239828694,0.027828664690404015,False,76e5d7e5712695f68a46dc8fc4ac128c98d6b0c147c4aa2c35a13e4145bfce35,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d
057,59726,20991,14610,1.4367556468172484,4.088021902806297,0.3039874231813634,False,937a1339ae4da9843145d57f8ee9cdf9d8cded242a53c5171fb58848b89d60d9,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525
058,4539717,1004819,1004819,1.0,4.517945022934478,0.0,False,229b6267f159c5aea2bfef04fac40d02b1c4f6dabaa6d84fb1ed509b12f5aa49,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d
059,829473,150736,150736,1.0,5.502819498991615,0.0,False,5f83df9c712eb9e7b573e465c1766259de191f6a7179cc45e5a85be3c52d7e07,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9
060,888789,181582,178553,1.0169641507003522,4.977732101952921,0.016681168838320937,False,5d8484ef9bc025e694dbef70cba13652de0c3c7025758b5225c48f72ff2d5946,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96
061,77191,19263,17600,1.0944886363636364,4.385852272727273,0.08633130872657424,False,092768f506afd6847a615608f3419cd23bc299c95c45ce3115d1b52e33c2bf7b,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3
062,2854809,588101,588101,1.0,4.854283532930568,0.0,False,c57fa0df141b0be1d165ad013d335101fb272603ff670c617398c8369ae7897b,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4
063,1070397,232381,232381,1.0,4.606215654464005,0.0,False,cd5e4cb0769ced6752c9503f29d67f9b132d441b532664c457c4c3ee7a7b7244,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d
064,19116,7029,6981,1.0068758057584872,2.738289643317576,0.006828851899274402,False,12aa5504ff55b4938acc40cc8d351403bc05a8d8afcf3e11c707790ff46879b5,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280
065,53068,11398,11270,1.0113575865128661,4.7087843833185445,0.011230040357957494,False,f28ed7c83d9c9b838ad6f905b7869520fd481af21a5e1972b4a4d4e75176f7be,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400
066,359070,81181,75024,1.082067071870335,4.7860684580934105,0.07584286963698406,False,97b4617336ccee7796375fcf03254f3d97ca0ef967eaaa1268073287985baf5a,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465
067,63834834,13215355,12237901,1.0798710497821482,5.216158718721454,0.07396350684487851,False,d992fc2017995d226cee7ee2229f3e9e43878f2d0e3200ceb6cf56b587ce6dcd,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542
068,362095,131631,116345,1.131385104645666,3.1122523529158967,0.11612765989774443,False,955cfb794f0c82641b6d4c1411591c77dafc0458a2c1731184fee809aef16ff1,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d
069,25144,10810,9143,1.1823252761675598,2.7500820299682815,0.15420906567992598,True,b591631b1994bd80355326b15174082b2d755d0b54e0d705d92f8b37215d4fd3,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52
070,117300,29049,25196,1.1529210985870773,4.655500873154469,0.13263795655616373,False,e47c1e9909364ebd03e30883b832bc2d2feba2bbcfed8b087d5fd5ccc5881d8b,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0
071,18919,8581,7782,1.1026728347468517,2.43112310460036,0.09311269082857476,True,ce7f38549b9f9492b2cde7b87b593febc732c979725021ac18a9d06715aa317f,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897
072,23897828,4856800,4732990,1.0261589396977386,5.04920314642541,0.025492093559545403,True,4465d13dd8a280fcf8201bd774faa9166a115eac7cdeb29993eb2fcd2574a215,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f
073,10081626,3138469,1927127,1.6285740379331513,5.231427923535916,0.38596589611049203,False,edfa64d6a389168473b5d0f57f39c88ce71ff3f9c5163211033dcb1fff07dce6,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9
074,1682239,354495,331285,1.0700605219071193,5.077920823460163,0.06547341993540101,False,1a4da622ae7b8f9c232b070f4abb15877da94229c1ebae757c3632f6956f3e17,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e
